,From,To
27825,9871,8728
27842,8523,3861
27847,7920,2662
27866,930,617
27869,930,7847
27875,582,8785
27881,6951,6395
27882,6951,8636
27896,8755,2487
27897,8755,2602
27919,6804,1617
27923,5707,1374
27930,5707,7385
27936,6654,8396
27948,8278,1242
27949,8278,1656
27955,3444,1834
27960,4761,9816
27961,4294,4761
27990,8901,9850
28000,1807,9063
28002,6158,3381
28027,2185,3950
28028,2185,6326
28029,2185,7673
28033,8287,22
28034,8287,5605
28037,8565,4040
28038,8565,9360
28048,4281,9491
28053,7754,412
28061,5365,5396
28062,5365,5913
28063,9232,3669
28065,7377,6161
28082,8948,8612
